■ 역대 박스오피스 (공식통계 기준),,,,,,,,,,,
- 조회일: 2021-04-19,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,
▶ 검색조건 [ 영화구분 : 일반영화???국적 : 전체 ],,,,,,,,,,,
순위,영화명,개봉일,매출액,관객수,,스크린수,,대표국적,국적,배급사,
,,,,(S:서울 기준),,(S:서울 기준),,,,,
1,명량,2014-07-30,"135,748,398,910",,"17,613,682",,"1,587",한국,한국,씨제이이앤엠(주),액션
2,극한직업,2019-01-23,"139,647,979,516",,"16,264,944",,"1,978",한국,한국,씨제이이앤엠(주),코미디
3,신과함께-죄와 벌,2017-12-20,"115,698,654,137",,"14,410,754",,"1,912",한국,한국,롯데쇼핑㈜롯데엔터테인먼트,액션
4,국제시장,2014-12-17,"110,913,469,630",,"14,257,115",,966,한국,한국,씨제이이앤엠(주),드라마
5,어벤져스: 엔드게임,2019-04-24,"122,182,694,160",,"13,934,592",,"2,835",미국,미국,월트디즈니컴퍼니코리아 유한책임회사,액션
6,겨울왕국 2,2019-11-21,"114,810,421,450",,"13,747,792",,"2,648",미국,미국,월트디즈니컴퍼니코리아 유한책임회사,어린이
7,아바타,2009-12-17,"128,447,097,523",,"13,624,328",,912,미국,미국,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)",SF
8,베테랑,2015-08-05,"105,168,155,250",,"13,414,009",,"1,064",한국,한국,씨제이이앤엠(주),액션
9,괴물,2006-07-27,0,,"13,019,740",S,167,한국,한국,(주)쇼박스,액션
10,도둑들,2012-07-25,"93,665,568,500",,"12,983,330",,"1,072",한국,"한국,홍콩",(주)쇼박스,액션
11,7번방의 선물,2013-01-23,"91,431,914,670",,"12,811,206",,787,한국,한국,(주)넥스트엔터테인먼트월드(NEW),드라마
12,암살,2015-07-22,"98,463,132,781",,"12,705,700",,"1,519",한국,한국,(주)쇼박스,액션
13,알라딘,2019-05-23,"106,983,620,359",,"12,555,894",,"1,311",미국,미국,월트디즈니컴퍼니코리아 유한책임회사,어린이
14,"광해, 왕이 된 남자",2012-09-13,"88,900,208,769",,"12,319,542",,810,한국,한국,씨제이이앤엠(주),드라마
15,왕의 남자,2005-12-29,0,,"12,302,831",S,94,한국,한국,(주)시네마서비스,드라마
16,신과함께-인과 연,2018-08-01,"102,666,146,909",,"12,274,996",,"2,235",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트,액션
17,택시운전사,2017-08-02,"95,855,737,149",,"12,186,684",,"1,906",한국,한국,(주)쇼박스,액션
18,태극기 휘날리며,2004-02-05,0,,"11,746,135",S,110,한국,한국,"(주)다자인소프트,(주)쇼박스",액션
19,부산행,2016-07-20,"93,178,283,048",,"11,565,479",,"1,788",한국,한국,(주)넥스트엔터테인먼트월드(NEW),액션
20,해운대,2009-07-22,"81,934,638,201",,"11,453,338",,753,한국,한국,CJ ENM,드라마
21,변호인,2013-12-18,"82,871,759,300",,"11,374,610",,923,한국,한국,(주)넥스트엔터테인먼트월드(NEW),드라마
22,어벤져스: 인피니티 워,2018-04-25,"99,919,006,769",,"11,211,880",,"2,553",미국,미국,월트디즈니컴퍼니코리아 유한책임회사,액션
23,실미도,2003-12-24,0,,"11,081,000",S,83,한국,한국,(주)시네마서비스,액션
24,어벤져스: 에이지 오브 울트론,2015-04-23,"88,582,586,366",,"10,494,499",,"1,843",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)",액션
25,기생충,2019-05-30,"87,459,829,095",,"10,313,086",,"1,948",한국,한국,씨제이이앤엠(주),코미디
26,겨울왕국,2014-01-16,"82,461,504,400",,"10,296,101",,"1,010",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),어린이
